signal_memory_cell,ambiguity_level,n_grids,valid_pixels,flood_pixels,r19_pooled_precision,r20_pooled_precision,r20_minus_r19_pooled_precision,r19_pooled_recall,r20_pooled_recall,r20_minus_r19_pooled_recall,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_pooled_iou,r20_pooled_iou,r20_minus_r19_pooled_iou,r19_fp_per_flood_pixel,r20_fp_per_flood_pixel,r20_minus_r19_fp_per_flood_pixel,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate_valid,r19_predicted_positive_rate,r20_predicted_positive_rate,r20_minus_r19_predicted_positive_rate,r19_median_grid_f1,r20_median_grid_f1,r20_minus_r19_median_grid_f1,f1_winner,precision_winner,recall_winner,low_fp_rate_winner,delta_f1,delta_fp_rate,lambda_star
moderate_signal__high_memory,high_ambiguity,12,601676,96745,0.2378774016468435,0.3572346835958246,0.119357281948981,0.3171223319034575,0.7439247506331077,0.4268024187296501,0.2718424235443184,0.4826834600887958,0.2108410365444774,0.1573018729587416,0.3181165217621916,0.16081464880345,1.016011163367616,1.3385291229520906,0.3225179595844747,0.1633669948610215,0.215225470186612,0.0518584753255905,0.2143578936171627,0.3348430052054594,0.1204851115882966,0.2235482705014544,0.4955795674757077,0.2720312969742532,r20,r20,r20,r19,0.2108410365444774,0.0518584753255905,4.065700644315589
moderate_signal__high_memory,mid_ambiguity,6,295141,26521,0.2455479452054794,0.4390839079430464,0.193535962737567,0.1351758983447079,0.7395271671505599,0.6043512688058519,0.1743634639235427,0.5510120945651716,0.3766486306416289,0.0955083120204603,0.3802737707460834,0.2847654587256231,0.41533124693639,0.944723049658761,0.529391802722371,0.0373211448087524,0.0848916280692956,0.0475704832605432,0.0494678814532714,0.1513446115585432,0.1018767301052717,0.1592438558654315,0.49091909568995,0.3316752398245184,r20,r20,r20,r19,0.3766486306416289,0.0475704832605432,7.917696117963044
moderate_signal__moderate_memory,high_ambiguity,6,301056,48081,0.7977730965994583,0.7244445290634579,-0.0733285675360003,0.1654083733699382,0.7913728915787941,0.6259645182088559,0.2740051679586563,0.7564311558188542,0.4824259878601979,0.1587520210791065,0.6082744508744444,0.4495224297953379,0.0419292444000748,0.3010128741082756,0.2590836297082007,0.0066964285714285,0.0480741124574829,0.0413776838860544,0.0331134406887755,0.1744625584608843,0.1413491177721088,0.1430165963187427,0.7459884884328185,0.6029718921140759,r20,r19,r20,r19,0.4824259878601979,0.0413776838860544,11.65908631301596
moderate_signal__moderate_memory,low_ambiguity,1,50176,4391,0.101063829787234,0.5319625675497561,0.4308987377625221,0.008654065133227,0.9191528125711684,0.9104987474379412,0.0159429410530732,0.6739021539489063,0.657959212895833,0.0080355254810742,0.508184336439184,0.5001488109581098,0.0769756319744932,0.8086996128444546,0.7317239808699613,0.0067362882653061,0.0707708864795918,0.0640345982142857,0.0074936224489795,0.1512077487244898,0.1437141262755102,0.0159429410530732,0.6739021539489063,0.6579592128958331,r20,r20,r20,r19,0.657959212895833,0.0640345982142857,10.275058034939722
moderate_signal__moderate_memory,mid_ambiguity,6,291825,32535,0.6374567864121449,0.7926051051051051,0.1551483186929602,0.1303519286921776,0.6489933917319809,0.5186414630398033,0.2164438093293866,0.7136459653569919,0.4972021560276053,0.1213551950095859,0.5547819232790331,0.4334267282694471,0.0741355463347164,0.1698171200245889,0.0956815736898724,0.0082652274479568,0.0189325794568662,0.0106673520089094,0.0227979097061595,0.0912875867386276,0.0684896770324681,0.0190516098906586,0.7239565982819609,0.7049049883913023,r20,r20,r20,r19,0.4972021560276053,0.0106673520089094,46.60970741495554
moderate_signal__no_or_trace_memory,high_ambiguity,9,451584,74750,0.8421403012399101,0.8187968073240335,-0.0233434939158766,0.2707692307692307,0.7561739130434783,0.4854046822742475,0.4097829608033689,0.786240376122351,0.376457415318982,0.25768995722143,0.6477727225844898,0.3900827653630598,0.0507558528428093,0.1673444816053511,0.1165886287625418,0.0084015376984126,0.0277002728174603,0.0192987351190476,0.0532215490362811,0.152868569302721,0.0996470202664399,0.0393732422659702,0.8312674483528755,0.7918942060869053,r20,r19,r20,r19,0.376457415318982,0.0192987351190476,19.5068439976371
moderate_signal__no_or_trace_memory,low_ambiguity,4,175270,13622,0.5625,0.5804267938882084,0.0179267938882083,0.0865511672294817,0.660916165027162,0.5743649977976802,0.1500190863977605,0.6180619915559674,0.4680429051582069,0.0810922346791388,0.4472429210134128,0.3661506863342739,0.0673175745118191,0.4777565702540008,0.4104389957421817,0.0052319278826952,0.0371312831631197,0.0318993552804244,0.0119586923033034,0.0884977463342271,0.0765390540309237,0.0485101624804979,0.6036557143223693,0.5551455518418714,r20,r20,r20,r19,0.4680429051582069,0.0318993552804244,14.672487924714567
moderate_signal__no_or_trace_memory,mid_ambiguity,22,1088779,116351,0.8833215713949659,0.7822105746742399,-0.1011109967207259,0.0968191076999768,0.6438878909506579,0.5470687832506811,0.1745104721774693,0.706341012695225,0.5318305405177557,0.095596534254364,0.546002477953502,0.450405943699138,0.0127888887933924,0.1792764995573738,0.1664876107639814,0.001366668534202,0.0191581578998125,0.0177914893656104,0.0117131208445423,0.0879664284487485,0.0762533076042061,0.0063180993784051,0.6603998014009128,0.6540817020225077,r20,r19,r20,r19,0.5318305405177557,0.0177914893656104,29.89241257933941
no_or_trace_signal__high_memory,high_ambiguity,2,100352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2037129304846938,0.2764369419642857,0.0727240114795918,0.2037129304846938,0.2764369419642857,0.0727240114795918,0.0,0.0,0.0,tie,tie,tie,r19,0.0,0.0727240114795918,0.0
no_or_trace_signal__high_memory,mid_ambiguity,1,50176,1,0.0,1.992984693877551e-05,1.992984693877551e-05,0.0,1.0,1.0,0.0,3.985889949578492e-05,3.985889949578492e-05,0.0,1.992984693877551e-05,1.992984693877551e-05,49394.0,50175.0,781.0,0.9844148596938777,0.9999800701530612,0.0155652104591836,0.9844148596938777,1.0,0.0155851403061224,0.0,3.985889949578492e-05,3.985889949578492e-05,r20,r20,r20,r19,3.985889949578492e-05,0.0155652104591836,0.002560768426505139
no_or_trace_signal__moderate_memory,high_ambiguity,1,50176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055404974489795,0.0055404974489795,0.0,0.0055404974489795,0.0055404974489795,0.0,0.0,0.0,tie,tie,tie,r19,0.0,0.0055404974489795,0.0
no_or_trace_signal__moderate_memory,low_ambiguity,3,125099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007098378084557,0.0115428580564193,0.0044444799718622,0.007098378084557,0.0115428580564193,0.0044444799718622,0.0,0.0,0.0,tie,tie,tie,r19,0.0,0.0044444799718622,0.0
no_or_trace_signal__moderate_memory,mid_ambiguity,3,150528,1,0.0,0.0002246181491464,0.0002246181491464,0.0,1.0,1.0,0.0,0.0004491354143274,0.0004491354143274,0.0,0.0002246181491464,0.0002246181491464,64.0,4451.0,4387.0,0.0004251700680272,0.0295692495748299,0.0291440795068027,0.0004251700680272,0.0295758928571428,0.0291507227891156,0.0,0.0,0.0,r20,r20,r20,r19,0.0004491354143274,0.0291440795068027,0.015410862924065401
no_or_trace_signal__no_or_trace_memory,high_ambiguity,28,1393735,24,0.0,9.385529390785288e-05,9.385529390785288e-05,0.0,0.4166666666666667,0.4166666666666667,0.0,0.00018766831502,0.00018766831502,0.0,9.384296318540554e-05,9.384296318540554e-05,70.29166666666667,4439.041666666667,4368.75,0.0012104166143492,0.0764399258108607,0.0752295091965115,0.0012104166143492,0.0764471007759724,0.0752366841616232,0.0,0.0,0.0,r20,r20,r20,r19,0.00018766831502,0.0752295091965115,0.0024946103865941802
no_or_trace_signal__no_or_trace_memory,low_ambiguity,50,2414703,162,0.0,0.0008607703894986,0.0008607703894986,0.0,0.7654320987654321,0.7654320987654321,0.0,0.0017196069865967,0.0017196069865967,0.0,0.0008605433915125,0.0008605433915125,20.15432098765432,888.4753086419753,868.320987654321,0.0013521331608897,0.0596069164613619,0.0582547833004721,0.0013521331608897,0.0596582685324033,0.0583061353715136,0.0,0.0,0.0,r20,r20,r20,r19,0.0017196069865967,0.0582547833004721,0.029518726002758372
no_or_trace_signal__no_or_trace_memory,mid_ambiguity,46,2169604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.625,3455.75,3032.125,0.0078101810284273,0.063712087551461,0.0559019065230336,0.0078101810284273,0.063712087551461,0.0559019065230336,0.0,0.0,0.0,tie,tie,tie,r19,0.0,0.0559019065230336,0.0
strong_signal__high_memory,high_ambiguity,10,476179,226311,0.5688698284561049,0.6527562805095845,0.0838864520534795,0.4184949030316688,0.9690205071781752,0.5505256041465063,0.4822313702427959,0.7800509007222496,0.2978195304794537,0.3177239012509686,0.6394126617119231,0.3216887604609544,0.3171653167543778,0.5154853277127492,0.1983200109583714,0.1507374327721298,0.2449919043048937,0.0942544715327639,0.3496332261607505,0.7055330033453806,0.3558997771846301,0.3931703244048908,0.778169997105165,0.3849996727002741,r20,r20,r20,r19,0.2978195304794537,0.0942544715327639,3.159739009049861
strong_signal__moderate_memory,high_ambiguity,6,301056,119546,0.9754958369999324,0.8985752478933298,-0.0769205891066026,0.4821909557827112,0.8884278855001422,0.4062369297174309,0.6453722052418859,0.8934727561810704,0.2481005509391844,0.476420318362894,0.807456627183846,0.331036308820952,0.0121124922623927,0.100279390360196,0.0881668980978033,0.0048097363945578,0.0398198341836734,0.0350100977891156,0.196282419217687,0.3926046981292517,0.1963222789115646,0.6229694241230538,0.8952660031866613,0.2722965790636075,r20,r19,r20,r19,0.2481005509391844,0.0350100977891156,7.0865426436003025
strong_signal__no_or_trace_memory,high_ambiguity,24,1173950,829334,0.9950712707117716,0.9362833017733158,-0.0587879689384559,0.4104377729599895,0.947952212257064,0.5375144392970745,0.5811628720943137,0.9420816247294792,0.3609187526351656,0.409605063656711,0.8905050207569931,0.4808999571002821,0.0020329565651474,0.0645108002324757,0.0624778436673282,0.0014361770092423,0.0455734912049065,0.0441373141956642,0.2913889007197922,0.715251927254142,0.4238630265343498,0.3517631091343007,0.9229789843135026,0.5712158751792018,r20,r19,r20,r19,0.3609187526351656,0.0441373141956642,8.177179767558675
strong_signal__no_or_trace_memory,mid_ambiguity,3,150528,48279,0.9697375981612718,0.930508115238746,-0.0392294829225259,0.209739224093291,0.8181818181818182,0.6084425940885272,0.3448851347899389,0.8707373525845917,0.5258522177946529,0.2083753472579483,0.7710671689863163,0.562691821728368,0.0065452888419395,0.061103171151018,0.0545578823090784,0.0020992772108843,0.0195976828231292,0.0174984056122448,0.0693691539115646,0.2820139774659864,0.2126448235544217,0.2866076696165192,0.8777832381960458,0.5911755685795266,r20,r19,r20,r19,0.5258522177946529,0.0174984056122448,30.051436082078187
weak_signal__high_memory,high_ambiguity,4,185248,2459,0.0013312809418812,0.0282729943727902,0.0269417134309089,0.0260268401789345,0.9235461569743798,0.8975193167954453,0.0025329982387746,0.0548663372914728,0.0523333390526982,0.0012681051734728,0.0282069753577106,0.0269388701842378,19.52419682797885,31.74176494509964,12.217568117120784,0.2591660908619796,0.4213432803593021,0.1621771894973225,0.2595115736742097,0.4336025220245292,0.1740909483503195,0.0006993006993006,0.0497589854103266,0.049059684711026,r20,r20,r20,r19,0.0523333390526982,0.1621771894973225,0.3226923540536643
weak_signal__high_memory,mid_ambiguity,9,382846,3288,0.0129783492024986,0.0223431681466628,0.0093648189441642,0.0650851581508515,0.3558394160583941,0.2907542579075425,0.0216413005005814,0.0420462508759635,0.020404950375382,0.0109390175330981,0.0214745884037222,0.010535570870624,4.949817518248175,15.570255474452557,10.62043795620438,0.0425105656060139,0.1337221754961525,0.0912116098901386,0.0430695370984677,0.1367782345904097,0.0937086974919419,0.0,0.0284398976982097,0.0284398976982097,r20,r20,r20,r19,0.020404950375382,0.0912116098901386,0.2237100123543384
weak_signal__moderate_memory,high_ambiguity,2,78678,1903,0.0008024394158241,0.1122632616333876,0.1114608222175635,0.0026274303730951,0.6883867577509196,0.6857593273778245,0.0012294074256208,0.193044503389331,0.1918150959637101,0.0006150818058801,0.1068341216767248,0.1062190398708446,3.2716763005780347,5.443510246978455,2.1718339464004206,0.0791326673275884,0.1316632349576756,0.0525305676300871,0.0791962174940898,0.1483133785810518,0.069117161086962,0.0024342745861733,0.2365080692275294,0.2340737946413561,r20,r20,r20,r19,0.1918150959637101,0.0525305676300871,3.651494827058507
weak_signal__moderate_memory,low_ambiguity,9,425306,4732,0.0629313844904587,0.2915125651967757,0.2285811807063169,0.0327557058326289,0.6496196111580727,0.6168639053254438,0.0430854760250173,0.4024350330562283,0.3593495570312109,0.0220170454545454,0.2519052691960993,0.2298882237415538,0.4877430262045646,1.5788250211327135,1.0910819949281487,0.0054266810249561,0.0175661758827761,0.01213949485782,0.0057911245080012,0.0247939130884586,0.0190027885804573,0.0,0.277136258660508,0.277136258660508,r20,r20,r20,r19,0.3593495570312109,0.01213949485782,29.601689464016346
weak_signal__moderate_memory,mid_ambiguity,5,250880,4053,0.0394155623513421,0.0470725216234198,0.0076569592720776,0.0286207747347643,0.5585985689612633,0.5299777942264989,0.0331618067467124,0.0868281270973556,0.0536663203506432,0.016860465116279,0.0453843840833918,0.0285239189671127,0.6975080187515421,11.308166790032075,10.610658771280534,0.0112683354591836,0.1826849489795918,0.1714166135204081,0.0117307079081632,0.1917091836734694,0.1799784757653061,0.0129533678756476,0.4194857916102842,0.4065324237346366,r20,r20,r20,r19,0.0536663203506432,0.1714166135204081,0.31307537378373146
weak_signal__no_or_trace_memory,high_ambiguity,6,289426,4094,0.0255151476002842,0.077687632847349,0.0521724852470648,0.0964826575476306,0.6338544211040548,0.5373717635564241,0.0403575989782886,0.1384110728858308,0.0980534739075422,0.0205943691345151,0.0743510400550111,0.053756670920496,3.684904738641915,7.525158768930142,3.840254030288227,0.0521238589484013,0.1064451707863149,0.0543213118379136,0.0534886292178311,0.115411193189278,0.0619225639714469,0.0062597809076682,0.1177592465090397,0.1114994656013715,r20,r20,r20,r19,0.0980534739075422,0.0543213118379136,1.8050645426258964
weak_signal__no_or_trace_memory,low_ambiguity,45,2215515,29028,0.1673286991062562,0.4838818565400843,0.3165531574338281,0.0116094805015846,0.5926002480363787,0.580990767534794,0.021712518523291,0.5327510917030568,0.5110385731797658,0.010975411170819,0.3630952380952381,0.352119826924419,0.0577718065316246,0.632079371641174,0.5743075651095494,0.0007569346179105,0.0082815959269063,0.0075246613089958,0.0009090437212115,0.0160459306301243,0.0151368869089128,0.0,0.5392073481884674,0.5392073481884674,r20,r20,r20,r19,0.5110385731797658,0.0075246613089958,67.91515952602606
weak_signal__no_or_trace_memory,mid_ambiguity,28,1391088,31209,0.2286118980169971,0.2445358834660469,0.0159239854490497,0.0517158511967701,0.616969463936685,0.5652536127399148,0.0843502573884867,0.35025011368804,0.2658998562995532,0.0440321920611103,0.2123049782237168,0.1682727861626065,0.174500945240155,1.9060527411964496,1.7315517959562947,0.0039149212702575,0.0427622120239697,0.0388472907537122,0.0050751641880312,0.0566038956557744,0.0515287314677432,0.0,0.4002400918789635,0.4002400918789635,r20,r20,r20,r19,0.2658998562995532,0.0388472907537122,6.844746471133102
