model,architecture,event,aoi,region,aoi_name,n_grids,valid_pixels,flood_pixels,selected_threshold,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_iou,best_kuro_threshold,best_kuro_precision,best_kuro_recall,best_kuro_f1,best_kuro_iou
r19,tiny_unet,1111002,01,Cameroon,Djagala,32,1421262,116810,0.85,21202,26038,95608,1278414,0.4488145639288738,0.1815084324972177,0.2584821700701006,0.14842349910394265,0.2,0.3687765615476459,0.7562366235767486,0.49578501913859485,0.3295971822157217
r19,tiny_unet,1111003,01,Djibouti,Djibouti,19,815490,6961,0.85,1008,70430,5953,738099,0.014110137461855035,0.14480678063496624,0.02571461370680748,0.01302477032213048,0.6,0.017766550449905008,0.3667576497629651,0.03389133003225849,0.017237770500658316
r19,tiny_unet,1111004,01,USA,Houston,5001,246653566,16145346,0.85,537908,756068,15607438,229752152,0.41570168225685794,0.03331659786046084,0.06168909548203766,0.03182621288372677,0.1,0.43454132683090896,0.6962006264839415,0.5350963464050481,0.36527750141921833
r19,tiny_unet,1111005,01,Madagascar,Farihy Alaotra,1369,67523764,10206364,0.85,3276392,1940934,6929972,55376466,0.6279829935871364,0.3210146140192531,0.42485189990203376,0.26972187559735505,0.25,0.523821390465237,0.6648107984390915,0.5859543769476343,0.41438152163916075
r19,tiny_unet,1111006,01,Madagascar,Ambato Boeny,682,33427018,2688636,0.85,1211640,1276794,1476996,29461588,0.48690863410482255,0.4506523010180627,0.4680794348927096,0.3055507221158866,0.3,0.5047349937721378,0.7329370729247098,0.5977980741301392,0.42632809376530634
r19,tiny_unet,1111007,01,Nepal,Patna,4134,205248884,13749349,0.85,5906129,6496979,7843220,185002556,0.47618137324935006,0.4295569921164995,0.45166914909753986,0.29171358875545234,0.5,0.47535794146053123,0.5729693820412879,0.5196192827584669,0.351003817265804
r19,tiny_unet,1111008,01,Nicaragua,Dakban,123,5686145,480301,0.85,228751,173970,251550,5031874,0.5680135875705513,0.47626592490958797,0.5181094015777636,0.34962729511165863,0.3,0.5160782995738593,0.7481121213572323,0.6108010709277124,0.43967862207870234
r19,tiny_unet,1111009,01,Pakistan,Larkana,18660,931065097,118580964,0.85,83520527,53143807,35060437,759340326,0.6111362383692588,0.7043333447685582,0.654433422706968,0.4863627216599986,0.85,0.6111362383692588,0.7043333447685582,0.654433422706968,0.4863627216599986
r19,tiny_unet,1111010,01,Peru,Sechura,515,24928085,4731333,0.85,3638459,756516,1092874,19440236,0.8278679628439297,0.7690135105687974,0.7973561707538251,0.6630027539023031,0.55,0.7589708029053286,0.8957196629364282,0.8216945535020266,0.6973527585263857
r19,tiny_unet,1111011,01,Philippines,Tuguegarao,3308,163984715,10539358,0.85,6860694,3044363,3678664,150400994,0.6926455849774514,0.6509593848126233,0.6711558144363632,0.5050673523109022,0.5,0.6484347452354877,0.7907652439550872,0.7125620669209122,0.5534729470155663
r19,tiny_unet,1111013,01,USA,St Louis,8678,432565804,16018272,0.85,2321558,2193457,13696714,414354075,0.5141861101236651,0.14493186281266793,0.2261262894732831,0.12747597990284174,0.35,0.45378929025633274,0.5615449656492286,0.5019491658571241,0.3350681795416637
r19,tiny_unet,118,01,Spain,Zaragoza,168,8429568,551382,0.85,39901,27742,511481,7850444,0.5898762621409458,0.0723654381173125,0.1289156334558378,0.06889888866633052,0.4,0.35982502053259463,0.37503944633665953,0.36727473585311143,0.2249458276405218
r19,tiny_unet,118,02,Spain,Trespaderne,174,8730624,66739,0.85,97,27535,66642,8636350,0.0035104226983207875,0.0014534230360059336,0.002055716268769008,0.0010289157137704987,0.5,0.022281565790568197,0.11639371282158857,0.0374029776005855,0.019057899901864572
r19,tiny_unet,130,06,Myanmar,Pathein,373,18512566,7866722,0.85,3921370,246603,3945352,10399241,0.9408338297776881,0.4984757310605358,0.6516775040829867,0.4833246541954131,0.05,0.8537721573618007,0.9797235748257025,0.9124217694242385,0.8389481728971387
r20,aspp_deeplabv3,1111002,01,Cameroon,Djagala,32,1421262,116810,0.83,97122,68562,19688,1235890,0.586188165423336,0.8314527865764917,0.6876039845094055,0.5239302591545649,0.85,0.610059183232073,0.7968581457067032,0.6910578461469931,0.5279514026748948
r20,aspp_deeplabv3,1111003,01,Djibouti,Djibouti,19,815490,6961,0.83,4920,169945,2041,638584,0.02813599062133646,0.7067950007182876,0.05411767294006359,0.027811380054944435,0.83,0.02813599062133646,0.7067950007182876,0.05411767294006359,0.027811380054944435
r20,aspp_deeplabv3,1111004,01,USA,Houston,5001,246653566,16145346,0.83,11839114,6870935,4306232,223637285,0.632767664050479,0.7332833870515999,0.6793274900485277,0.5143799730286575,0.8,0.6141957185341823,0.7778134949848705,0.6863887304741281,0.5225204338585416
r20,aspp_deeplabv3,1111005,01,Madagascar,Farihy Alaotra,1369,67523764,10206364,0.83,9423807,5350880,782557,51966520,0.6378346289163351,0.9233265637008439,0.754476422949539,0.6057504144050193,0.9,0.7240011712505318,0.8634080657911084,0.7875832347616875,0.6495977763940606
r20,aspp_deeplabv3,1111006,01,Madagascar,Ambato Boeny,682,33427018,2688636,0.83,2488161,3490168,200475,27248214,0.41619673323432016,0.9254361691206991,0.5741712352594016,0.40269298071277226,0.9,0.45205556510461425,0.8608141823586384,0.5928019019527185,0.42126400168912154
r20,aspp_deeplabv3,1111007,01,Nepal,Patna,4134,205248884,13749349,0.83,11915555,12290954,1833794,179208581,0.4922459079084886,0.8666268490239065,0.6278638201249462,0.4575812731518523,0.9,0.5281905013923279,0.7993240989082465,0.6360689313424115,0.4663497635319978
r20,aspp_deeplabv3,1111008,01,Nicaragua,Dakban,123,5686145,480301,0.83,404717,292495,75584,4913349,0.5804791082195946,0.8426320161731914,0.6874098205285207,0.5237048328407496,0.85,0.5973694694253459,0.8210809471560542,0.6915838354646147,0.5285656461682389
r20,aspp_deeplabv3,1111009,01,Pakistan,Larkana,18660,931065097,118580964,0.83,117783129,355825827,797835,456658306,0.24869278232145592,0.9932718121603397,0.3977883615445531,0.24827454251176603,0.95,0.3039023770460398,0.9361717450703133,0.4588513115081567,0.2977333173200733
r20,aspp_deeplabv3,1111010,01,Peru,Sechura,515,24928085,4731333,0.83,4723439,12366682,7894,7830070,0.2763841753958325,0.9983315484240911,0.4329169816090166,0.2762565713037449,0.95,0.3261706736723967,0.9818249951969138,0.489669083367236,0.324213109838828
r20,aspp_deeplabv3,1111011,01,Philippines,Tuguegarao,3308,163984715,10539358,0.83,10021890,8303210,517468,145142147,0.5468941506458355,0.9509013736889856,0.6944104060433076,0.5318749546240193,0.95,0.6752424183396198,0.8140450300672963,0.7381754748930134,0.5850064412327264
r20,aspp_deeplabv3,1111013,01,USA,St Louis,8678,432565804,16018272,0.83,15076067,31987996,942205,384559536,0.3203307585237594,0.9411793606701148,0.4779806264305213,0.3140437202908587,0.95,0.45072121476767124,0.7699716923273622,0.5685993168066968,0.39723281082849005
r20,aspp_deeplabv3,118,01,Spain,Zaragoza,168,8429568,551382,0.83,523322,5224641,28060,2653545,0.0910447753404119,0.9491096916475329,0.16615124270856735,0.0906024785566124,0.95,0.11350354457106461,0.8445052613251792,0.20011160644738887,0.11118000825173917
r20,aspp_deeplabv3,118,02,Spain,Trespaderne,174,8730624,66739,0.83,50281,2953876,16458,5710009,0.016737141234629216,0.7533975636434469,0.03274679442091168,0.016645947927822646,0.8,0.016919847600339016,0.8001618244205038,0.03313895437482973,0.01684865051780842
r20,aspp_deeplabv3,130,06,Myanmar,Pathein,373,18512566,7866722,0.83,7725986,1132552,140736,9513292,0.8721513640286919,0.9821099563452224,0.9238703613576112,0.8585121422016931,0.9,0.8933307953852376,0.9640861848175136,0.927360832255272,0.86455991925513
